,Date,Action,Price,Shares,Capital,Position,Reason,Profit,Profit_pct
0,2023-07-18,BUY,60.900001525878906,3,19817.299995422363,3,"Conservative Entry: Trend, MACD, ML_bullish",,
1,2023-07-19,SELL,60.849998474121094,3,19999.849990844727,0,ML Bearish Signal,-0.1500091552734375,-0.08210681527908362
2,2023-08-15,BUY,60.650001525878906,3,19817.89998626709,3,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
3,2023-08-16,SELL,61.099998474121094,3,20001.199981689453,0,ML Bearish Signal,1.3499908447265625,0.7419570270747267
4,2023-08-17,BUY,60.599998474121094,3,19819.39998626709,3,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
5,2023-08-18,SELL,58.79999923706055,3,19995.79998397827,0,Trailing Stop,-5.399997711181641,-2.9702958455175987
6,2023-12-12,BUY,61.45000076293945,3,19811.449981689453,3,"Conservative Entry: Trend, MACD, ML_bullish",,
7,2023-12-13,SELL,61.150001525878906,3,19994.89998626709,0,ML Bearish Signal,-0.8999977111816406,-0.4882005424505652
8,2024-01-15,BUY,63.0,3,19805.89998626709,3,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
9,2024-01-16,SELL,62.900001525878906,3,19994.599990844727,0,ML Bearish Signal,-0.29999542236328125,-0.1587277367001488
10,2024-02-01,BUY,63.04999923706055,3,19805.449993133545,3,"Conservative Entry: Trend, MACD, ML_bullish",,
11,2024-02-02,SELL,64.30000305175781,3,19998.35000228882,0,ML Bearish Signal,3.750011444091797,1.9825596032085568
12,2024-02-27,BUY,66.6500015258789,3,19798.39999771118,3,"Conservative Entry: Trend, MACD, ML_bullish",,
13,2024-02-28,SELL,66.4000015258789,3,19997.60000228882,0,ML Bearish Signal,-0.75,-0.37509376485599905
14,2024-03-08,BUY,63.70000076293945,3,19806.5,3,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
15,2024-03-11,SELL,63.599998474121094,3,19997.299995422363,0,Trailing Stop,-0.3000068664550781,-0.15698946251275483
16,2024-06-13,BUY,66.25,3,19798.549995422363,3,"Conservative Entry: Trend, MACD, ML_bullish",,
17,2024-06-14,SELL,65.4000015258789,3,19994.75,0,ML Bearish Signal,-2.5499954223632812,-1.283016564711085
18,2024-09-03,BUY,68.5,2,19857.75,2,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
19,2024-09-04,SELL,69.1500015258789,2,19996.050003051758,0,ML Bearish Signal,1.3000030517578125,0.9489073370494983
20,2024-09-11,BUY,68.6500015258789,2,19858.75,2,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
21,2024-09-12,SELL,69.5,2,19997.75,0,ML Bearish Signal,1.6999969482421875,1.2381623528452084
22,2024-09-17,BUY,71.0,2,19855.75,2,"Conservative Entry: Trend, MACD, ML_bullish",,
23,2024-09-19,SELL,70.9000015258789,2,19997.550003051758,0,ML Bearish Signal,-0.1999969482421875,-0.14084292129731513
24,2025-06-06,BUY,66.1500015258789,3,19799.09999847412,3,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
25,2025-06-09,SELL,66.0999984741211,3,19997.399993896484,0,ML Bearish Signal,-0.1500091552734375,-0.07559040151835905
26,2025-06-10,BUY,66.25,3,19798.649993896484,3,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
27,2025-06-11,SELL,66.19999694824219,3,19997.24998474121,0,ML Bearish Signal,-0.1500091552734375,-0.07547630454009434
28,2025-06-12,BUY,66.0999984741211,3,19798.949989318848,3,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
29,2025-06-13,SELL,66.0999984741211,3,19997.24998474121,0,ML Bearish Signal,0.0,0.0
30,2025-06-16,BUY,66.0999984741211,3,19798.949989318848,3,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
31,2025-06-17,SELL,66.0999984741211,3,19997.24998474121,0,ML Bearish Signal,0.0,0.0
32,2025-06-18,BUY,66.05000305175781,3,19799.099975585938,3,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
33,2025-06-19,SELL,65.80000305175781,3,19996.49998474121,0,ML Bearish Signal,-0.75,-0.3785011180152347
34,2025-06-24,BUY,66.25,3,19797.74998474121,3,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
35,2025-06-25,SELL,66.75,3,19997.99998474121,0,ML Bearish Signal,1.5,0.7547169811320755
36,2025-08-14,BUY,66.5999984741211,3,19798.199989318848,3,"Conservative Entry: Trend, BB_oversold, ML_bullish",,
37,2025-08-15,SELL,66.0999984741211,3,19996.49998474121,0,Trailing Stop,-1.5,-0.7507507679512726
